001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030
-9.0,-7.0,15.0,-11.0,-10.0,-4.0,-8.0,-6.0,-6.0,-10.0,2.0,-9.0,-2.0,1.0,-4.0,8.0,-1.0,-5.0,0.0,1.0,-6.0,7.0,2.0,-3.0,-10.0,-11.0,-6.0,-6.0,-4.0,-8.0
-12.0,-7.1,12.0,-9.0,-8.0,-4.1,-3.0,-7.0,-3.0,-9.0,-2.0,-6.0,-3.0,4.0,-4.1,7.0,-4.0,-4.0,1.0,-1.0,-9.0,7.1,6.0,-5.0,-12.0,-7.0,-11.0,0.0,-3.0,-7.0
-5.0,-7.2,14.0,-6.0,-8.1,-1.0,2.0,-7.1,-3.1,-11.0,-6.0,-5.0,0.0,6.0,-3.0,1.0,-6.0,-6.0,-3.0,-1.1,-6.1,9.0,3.0,-2.0,-9.0,-6.0,-7.0,1.0,-6.0,-7.1
-24.0,-3.0,15.1,-3.0,-5.0,-2.0,1.0,-4.0,-33.0,-9.1,0.0,7.0,0.1,6.1,-6.0,-1.0,0.0,-4.1,-5.0,0.0,-12.0,27.0,-1.0,1.0,-6.0,-10.0,-3.0,-2.0,-5.0,-8.1
-24.1,-5.0,11.0,22.0,-4.0,-4.2,22.0,32.0,-27.0,-9.2,1.0,6.0,-20.0,28.0,-11.0,2.0,2.0,-27.0,4.0,-1.2,-12.1,26.0,2.1,-3.1,50.0,-13.0,-21.0,-5.0,-6.1,-11.0
-20.0,-2.0,39.0,26.0,13.0,0.0,29.0,29.0,-25.0,-14.0,7.0,1.0,-27.0,27.0,-6.1,-29.0,-1.1,-26.0,-2.0,-31.0,1.0,29.0,-12.0,-19.0,49.0,-10.1,-13.0,-20.0,26.0,25.0
-18.0,-4.0,40.0,33.0,12.0,-3.0,34.0,24.0,-23.0,-13.0,13.0,-8.0,-32.0,25.0,1.0,-29.1,42.0,-25.0,-8.0,-32.0,8.0,19.0,-17.0,-19.1,42.0,-8.0,-13.1,-20.1,23.0,24.0
-12.1,19.0,38.0,32.0,2.0,42.0,28.0,22.0,-14.0,26.0,16.0,-13.0,-29.0,22.0,6.0,-24.0,36.0,-31.0,-15.0,-32.1,12.0,11.0,-22.0,-13.0,27.0,-12.0,-10.0,-18.0,25.0,15.0
-3.0,23.0,40.1,28.0,-4.1,39.0,23.0,19.0,-10.0,24.0,22.0,-16.0,-29.1,13.0,10.0,-19.0,33.0,-31.1,-21.0,-29.0,18.0,10.0,-26.0,-6.0,22.0,-16.0,-3.1,-7.0,22.0,12.0
4.0,19.1,38.1,33.1,-11.0,30.0,28.1,12.0,-5.0,17.0,23.0,-16.1,-25.0,9.0,12.0,-17.0,31.0,-29.0,-28.0,-28.0,22.0,7.2,-30.0,0.0,18.0,45.0,4.0,-3.0,26.1,11.0
