001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030
-1.0,-4.0,1.0,-5.0,-7.0,9.0,0.0,-6.0,2.0,2.0,5.0,4.0,-8.0,4.0,-1.0,-9.0,-8.0,-2.0,1.0,-1.0,0.0,5.0,1.0,-9.0,-2.0,-3.0,-9.0,-5.0,5.0,-9.0
1.0,-11.0,-3.0,-4.0,-2.0,7.0,-3.0,-9.0,1.0,-2.0,4.0,5.0,-8.1,5.0,1.0,-7.0,-8.1,-5.0,0.0,-3.0,-1.0,6.0,-1.0,-9.1,-3.0,-2.0,-8.0,-2.0,2.0,-9.1
2.0,-11.1,-1.0,-3.0,-2.1,1.0,-8.0,-5.0,5.0,1.0,2.0,4.1,-9.0,8.0,0.0,-4.0,-6.0,-2.1,-5.0,-2.0,-1.1,3.0,-2.0,-9.2,-7.0,8.0,-10.0,-2.1,1.0,-7.0
4.0,-7.0,33.0,-2.0,-6.0,3.0,-8.1,-5.1,3.0,0.0,0.0,1.0,-17.0,8.1,-2.0,22.0,-5.0,31.0,-3.0,-1.1,-2.0,7.0,-1.1,-8.0,-6.0,28.0,-11.0,0.0,-3.0,32.0
1.1,-30.0,38.0,-3.1,12.0,12.0,14.0,-3.0,29.0,-5.0,-2.0,2.0,-11.0,42.0,-2.1,24.0,33.0,32.0,27.0,36.0,28.0,-4.0,16.0,-6.0,-7.1,33.0,-17.0,33.0,-2.0,35.0
30.0,-27.0,42.0,28.0,16.0,6.0,7.0,0.0,31.0,-4.0,24.0,32.0,-6.0,39.0,27.0,28.0,33.1,29.0,29.0,31.0,21.0,-10.0,9.0,-7.0,-15.0,28.1,-13.0,35.0,4.0,38.0
27.0,-26.0,46.0,33.0,25.0,8.0,2.0,21.0,35.0,-8.0,18.0,30.0,4.0,33.0,23.0,25.0,33.2,34.0,28.0,21.0,10.0,-15.0,6.0,-34.0,-3.1,23.0,-9.1,30.0,12.0,36.0
20.0,-20.0,40.0,33.1,31.0,1.1,-9.0,21.1,35.1,-16.0,17.0,24.0,6.0,24.0,16.0,24.1,29.0,33.0,26.0,16.0,3.0,-15.1,-1.2,-35.0,4.0,24.0,-1.0,19.0,17.0,35.1
13.0,-10.0,32.0,32.0,34.0,-7.0,-19.0,22.0,37.0,-19.0,15.0,19.0,10.0,19.0,14.0,28.1,26.0,33.1,17.0,11.0,1.0,-19.0,-7.0,-35.1,10.0,20.0,6.0,8.0,20.0,32.1
8.0,-4.1,27.0,29.0,35.0,-16.0,-22.0,24.0,41.0,-25.0,14.0,9.0,10.1,18.0,9.0,30.0,18.0,30.0,8.0,1.0,-4.0,-25.0,-14.0,-34.1,18.0,8.1,13.0,1.0,23.0,28.0
5.0,3.0,19.0,24.0,32.0,-20.0,-24.0,32.0,41.1,-34.0,11.0,1.1,17.0,13.0,-2.2,29.0,11.0,26.0,4.0,-6.0,-13.0,-24.0,-18.0,-29.0,24.0,7.0,18.0,0.1,25.0,21.0
