001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030
7.0,-6.0,1.0,-16.0,1.0,3.0,4.0,6.0,5.0,10.0,-4.0,20.0,-6.0,-54.0,2.0,3.0,8.0,4.0,10.0,7.0,-6.0,-7.0,-6.0,-5.0,-53.0,-11.0,0.0,5.0,1.0,7.0
8.0,-2.0,5.0,-13.0,0.0,4.0,8.0,5.0,7.0,10.1,0.0,18.0,1.0,-49.0,2.1,1.0,7.0,6.0,10.1,1.0,-9.0,-11.0,-6.1,-6.0,-51.0,-12.0,-3.0,5.1,0.0,9.0
5.0,-1.0,5.1,-13.1,2.0,7.0,5.0,7.0,6.0,6.0,1.0,18.1,-3.0,-50.0,2.2,-1.0,6.0,2.0,10.2,1.1,-3.0,-5.0,-6.2,-6.1,-48.0,-12.1,0.1,4.0,-3.0,12.0
3.0,0.0,4.0,8.0,-57.0,62.0,-38.0,4.0,44.0,5.0,2.0,17.0,-5.0,-52.0,2.3,-3.0,63.0,15.0,51.0,31.0,-1.0,-59.0,-39.0,-3.0,-49.0,-10.0,3.0,6.0,-2.0,13.0
18.0,-45.0,22.0,0.0,-49.0,60.0,-29.0,48.0,44.1,1.0,26.0,27.0,5.0,-56.0,55.0,36.0,67.0,20.0,54.0,37.0,-45.0,-57.0,-30.0,-31.0,31.0,-45.0,2.0,54.0,54.0,22.0
26.0,-43.0,28.0,-10.0,-40.0,59.0,-20.0,54.0,48.0,47.0,35.0,38.0,15.0,46.0,53.0,26.0,69.0,33.0,53.0,42.0,-36.0,-50.0,-25.0,-28.0,35.0,-41.0,-4.0,55.0,52.0,22.1
37.0,-41.0,37.0,-22.0,-28.0,58.0,-16.0,55.0,51.0,48.0,40.0,50.0,27.0,48.0,48.0,20.0,64.0,43.0,52.0,43.0,-30.0,-44.0,-16.0,-15.0,42.0,-30.0,-7.0,51.0,49.0,26.0
37.1,-34.0,43.0,-31.0,-20.0,56.0,-3.0,57.0,54.0,48.1,45.0,54.0,37.0,45.0,49.0,7.0,56.0,43.1,54.1,42.1,-26.0,-38.0,-5.0,-3.1,48.0,-20.0,-3.1,48.0,42.0,31.0
38.0,-28.0,48.0,-38.0,-2.0,51.0,15.0,57.1,54.1,44.0,45.1,56.0,48.0,49.0,44.0,-2.0,51.0,46.0,53.1,50.0,-17.0,-35.0,3.0,1.0,51.0,-12.2,-9.0,47.0,39.0,33.0
44.0,-19.0,56.0,-51.0,10.0,45.0,23.0,54.1,53.0,46.0,51.0,58.0,54.0,51.0,46.0,-5.0,46.0,52.0,47.0,50.1,-9.1,-23.0,17.0,6.0,54.0,-6.0,6.0,45.0,32.0,36.0
