001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030
-150.0,-41.0,-41.0,-98.0,-122.0,-274.0,58.0,291.0,-294.0,113.0,116.0,281.0,253.0,-250.0,288.0,-114.0,-250.0,312.0,-280.0,-270.0,93.0,-62.0,107.0,212.0,160.0,-132.0,248.0,53.0,-58.0,197.0
-116.0,-83.0,-67.0,-79.0,-83.0,-284.0,17.0,291.1,-276.0,82.0,110.0,318.0,262.0,-250.1,233.0,-152.0,-277.0,302.0,-206.0,-182.0,81.0,-35.0,74.0,252.0,108.0,-167.0,250.0,28.0,-99.0,161.0
-101.0,-122.0,-93.0,-53.0,-58.0,-312.0,-21.0,286.0,-219.0,63.0,91.0,326.0,268.0,-291.0,127.0,-180.0,-301.0,286.0,-202.0,-302.0,15.0,-24.0,44.0,286.0,62.0,-207.0,274.0,-5.0,-121.0,98.0
-97.0,-135.0,6.0,-16.0,-2.0,-311.0,-49.0,264.0,-144.0,44.0,52.0,323.0,-24.0,-296.0,142.0,-227.0,-318.0,268.0,-180.0,-346.0,-28.0,50.0,-14.0,-2.0,15.0,-253.0,244.0,-59.0,10.0,80.0
18.0,-15.0,1.0,-12.0,8.0,22.0,-15.0,-13.0,29.0,-9.0,4.0,-20.0,-23.0,16.0,-22.0,11.0,17.0,225.0,31.0,-229.0,-56.0,39.0,-3.0,-9.0,3.0,18.0,215.0,2.0,10.1,34.0
24.0,-9.0,-14.0,-15.0,2.0,23.0,-9.0,-15.0,26.0,-8.0,-19.0,-18.0,-19.0,14.0,-19.0,11.1,12.0,-20.0,33.0,23.0,5.0,37.0,7.0,-15.0,-13.0,19.0,211.0,4.0,15.0,-9.0
34.0,-1.0,8.0,-19.0,47.0,20.0,3.0,-22.0,6.0,-3.0,-18.0,-18.1,-21.0,13.0,-14.0,12.0,6.0,-22.0,32.0,14.0,5.1,36.0,-3.1,-18.0,8.0,19.1,38.0,8.0,16.0,-12.0
31.0,3.0,13.0,-24.0,18.0,13.0,3.1,-23.0,25.0,4.0,-14.0,-18.2,-23.1,11.0,-15.0,19.0,5.0,-24.0,32.1,17.0,5.2,31.0,14.0,-27.0,23.0,16.0,32.0,7.0,22.0,-10.0
29.0,-2.0,6.1,-26.0,31.0,8.0,0.0,-23.1,48.0,-5.0,-12.0,-20.1,-22.0,2.0,-12.0,17.0,1.0,-21.0,30.0,11.0,7.0,29.0,32.0,-31.0,13.0,17.0,11.0,8.1,18.0,-4.0
26.0,6.0,15.0,-24.1,38.0,1.0,14.0,-22.1,24.0,26.0,-2.0,-20.2,-25.0,-2.0,-11.0,16.0,-5.0,-24.1,27.0,4.0,11.0,29.1,7.1,-38.0,2.0,9.0,30.0,11.0,10.2,0.0
25.0,8.0,20.0,-28.0,35.0,-2.0,16.0,-25.0,20.0,16.0,3.0,-16.0,-21.1,-3.0,-3.0,17.1,-1.0,-26.0,20.0,-1.0,8.0,21.0,18.0,-31.1,20.0,13.0,31.0,17.0,14.0,4.0
26.1,11.0,21.0,-29.0,37.0,-3.0,10.0,-20.0,36.0,0.0,9.0,-14.0,-18.0,-11.0,5.0,20.0,-12.0,-21.1,22.0,-9.0,12.0,18.0,28.0,-25.0,57.0,7.0,18.0,18.0,15.1,11.0
21.0,9.0,27.0,-29.1,53.0,-7.0,17.1,-17.0,24.1,21.0,14.0,-11.0,-16.0,-14.0,9.0,16.1,-7.0,-11.0,16.0,-9.1,18.0,6.0,24.0,-15.1,30.0,4.0,24.0,21.0,18.1,8.0
16.0,14.0,45.0,-32.0,46.0,-10.0,17.2,-19.0,17.0,22.0,19.0,-7.0,-1.0,-17.0,6.0,11.2,2.0,-7.0,11.0,-8.0,19.0,16.0,21.0,-18.1,21.0,2.0,27.0,19.0,19.0,23.0
11.0,19.0,34.0,-26.1,37.1,-11.0,9.0,-19.1,29.1,11.0,21.0,2.0,-8.0,-19.0,11.0,10.0,-27.0,-4.0,11.1,-10.0,20.0,-11.0,1.0,-10.0,39.0,0.0,19.0,17.1,18.2,17.0
10.0,19.1,29.0,-31.0,38.1,-10.1,19.0,-12.0,18.0,18.0,18.0,9.0,-8.1,-24.0,12.0,11.3,-22.0,-1.0,7.0,-9.2,20.1,-4.0,32.1,-13.0,31.0,-7.0,13.0,17.2,10.3,10.0
7.0,22.0,35.0,-25.0,39.0,-17.0,20.0,-7.0,7.0,20.0,16.0,11.0,1.0,-24.1,12.1,6.0,-15.0,-2.0,-2.0,-18.0,14.0,4.0,21.1,-9.1,22.0,-6.0,16.0,18.1,-2.0,21.0
2.0,23.0,36.0,-16.1,37.2,-22.0,19.1,2.0,12.0,17.0,21.1,14.0,6.0,-27.0,15.0,0.0,-29.0,2.0,-4.0,-18.1,8.1,-9.0,8.0,-12.0,31.1,-12.0,6.0,15.0,-9.0,21.1
-5.0,20.0,22.0,-23.0,42.0,-21.0,18.0,8.0,5.0,18.1,22.0,19.0,8.0,-30.0,14.0,-6.0,-27.1,12.0,-7.0,-19.0,8.2,-17.0,13.0,-12.1,29.0,-10.0,4.0,16.0,-10.0,21.2
-13.0,16.0,32.0,-8.0,39.1,-25.0,18.1,4.0,-7.0,25.0,21.2,17.0,14.0,-25.0,14.1,-7.0,-26.0,6.0,-19.0,-25.0,5.3,-12.0,11.0,-9.2,23.1,-13.0,-3.0,13.0,-11.0,23.1
-13.1,9.1,32.1,6.0,29.0,-25.1,15.0,7.0,-8.0,5.0,18.1,17.1,16.0,-29.0,17.0,-10.0,-24.0,13.0,-22.0,-18.2,-1.0,-9.1,3.0,-9.3,32.0,-21.0,-14.0,6.0,-10.1,25.0
-22.0,14.1,23.0,4.0,25.0,-32.0,12.0,13.0,-11.0,3.0,21.3,15.0,14.1,-17.1,20.0,-15.0,-28.0,28.0,-23.0,-19.1,6.0,-14.0,-1.0,3.0,30.1,-22.0,-10.0,0.0,-8.0,18.0
-29.0,9.2,17.0,10.0,23.0,-22.1,10.1,19.0,-19.0,9.0,15.0,15.1,17.0,-13.0,17.1,-32.0,-26.1,22.0,-22.1,-21.0,4.0,-7.0,-4.0,11.0,15.1,-22.1,-14.1,-6.0,-16.0,9.0
-32.0,9.3,19.0,16.0,14.0,-20.0,3.2,19.1,-21.0,2.0,11.0,13.0,17.1,-17.2,13.0,-24.0,-30.0,27.0,-24.0,-21.1,-8.0,-3.0,-10.0,15.0,11.0,-26.0,-23.0,-13.0,-15.0,4.1
