001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030
-23.0,-3.0,-5.0,6.0,-2.0,-8.0,-12.0,4.0,-3.0,-3.0,-43.0,-11.0,4.0,-3.0,0.0,0.0,-4.0,1.0,-53.0,-4.0,-4.0,-3.0,6.0,-4.0,-5.0,-5.0,0.0,-1.0,-5.0,7.0
-25.0,-4.0,-7.0,5.0,-1.0,-9.0,-11.0,2.0,-9.0,-3.1,-39.0,-12.0,5.0,-4.0,2.0,0.1,-9.0,-1.0,-50.0,-2.0,-4.1,-4.0,4.0,-2.0,-3.0,-5.1,2.0,1.0,-11.0,8.0
-19.0,-7.0,-7.1,2.0,3.0,-10.0,-16.0,2.1,-9.1,-4.0,-41.0,-10.0,5.1,2.0,1.0,-3.0,-8.0,-4.0,-52.0,-3.0,-12.0,-3.1,0.0,-10.0,-2.0,-9.0,2.1,1.1,-10.0,6.0
37.0,-10.0,29.0,2.1,1.0,34.0,-20.0,0.0,-5.0,38.0,-41.1,-13.0,8.0,5.0,3.0,-7.0,29.0,-6.0,-50.1,-2.1,30.0,-2.0,0.1,-6.0,-5.1,-9.1,6.0,-2.0,-1.0,-7.0
34.0,28.0,33.0,-17.0,-3.0,37.0,55.0,10.0,25.0,39.0,15.0,27.0,2.0,-13.0,5.0,23.0,32.0,-6.1,34.0,-2.2,32.0,24.0,-2.0,26.0,30.0,-6.0,0.1,-26.0,-6.0,-12.0
37.1,30.0,30.0,-13.0,11.0,29.0,55.1,15.0,30.0,38.1,25.0,28.0,0.0,-20.0,-34.0,27.0,33.0,33.0,36.0,38.0,29.0,27.0,-7.0,30.0,38.0,31.0,-2.0,-25.0,-11.1,-17.0
39.0,35.0,29.1,-1.0,10.0,27.0,50.0,24.0,31.0,36.0,30.0,37.0,-5.0,-24.0,-43.0,27.1,30.0,39.0,33.0,40.0,35.0,33.0,4.1,40.0,39.0,24.0,-9.0,-22.0,-19.0,-29.0
36.0,35.1,32.0,9.0,0.0,22.0,45.0,29.0,31.1,39.1,31.0,39.0,-14.0,-32.0,-44.0,28.0,33.1,40.0,28.0,40.1,32.1,34.0,17.0,37.0,38.1,17.0,-16.0,-16.0,-26.0,-32.0
33.0,34.0,36.0,20.0,-3.1,15.0,37.0,33.0,37.0,34.0,31.1,40.0,-18.0,-32.1,-49.0,30.0,33.2,41.0,25.0,37.0,21.0,36.0,27.0,34.0,41.0,10.0,-23.0,-12.0,-28.0,-36.0
24.0,36.0,40.0,24.0,-9.0,6.0,29.0,34.0,36.0,25.0,38.0,38.0,-25.0,-41.0,-50.0,35.0,36.0,39.1,16.0,39.0,15.0,36.1,33.0,36.0,43.0,5.0,-31.0,-8.0,-33.0,-40.0
13.0,35.2,47.0,32.0,-16.0,-6.0,25.0,37.0,41.0,19.0,36.0,36.0,-26.0,-47.0,-53.0,33.0,35.0,39.2,6.0,44.0,5.0,40.0,34.0,32.0,40.0,-3.0,-35.0,-3.0,-39.0,-39.0
0.0,32.0,46.0,37.0,-21.0,-16.0,15.0,38.0,39.0,15.0,34.0,29.0,-36.0,-51.0,-48.0,37.0,38.0,40.1,0.0,39.1,-5.0,44.0,38.0,35.0,36.0,-8.0,-39.0,-2.1,-39.1,-38.0
-5.0,31.0,42.0,37.1,-30.0,-20.0,10.0,40.0,39.1,14.0,31.2,28.1,-40.0,-52.0,-49.1,37.1,37.0,37.0,-9.0,31.0,-11.0,38.0,39.0,32.1,30.1,-14.0,-42.0,9.0,-39.2,-36.1
-10.0,32.1,29.2,40.0,-37.0,-24.0,2.0,39.0,33.0,10.0,33.0,23.0,-38.0,-56.0,-46.0,39.0,32.1,33.1,-17.0,24.0,-14.0,40.1,39.1,29.0,21.0,-19.0,-36.0,19.0,-40.0,-34.0
-13.0,23.0,20.0,45.0,-41.0,-30.0,-4.0,40.1,27.0,-3.2,35.0,18.0,-40.1,-59.0,-40.0,35.1,27.0,24.0,-17.1,15.0,-22.0,35.0,37.0,16.0,15.0,-27.0,-30.0,23.0,-46.0,-30.0
-25.1,13.0,11.0,45.1,-44.0,-37.0,-9.0,37.1,22.0,-12.0,28.0,10.0,-39.0,-58.0,-35.0,27.2,20.0,16.0,-20.0,12.0,-26.0,34.1,38.1,11.0,10.0,-35.0,-29.0,31.0,-45.0,-27.0
-27.0,7.0,2.0,46.0,-42.0,-41.0,-14.0,36.0,15.0,-19.0,21.0,3.0,-31.0,-59.1,-29.0,22.0,11.0,15.0,-26.0,8.0,-35.0,26.0,36.0,7.0,-3.1,-38.0,-21.0,39.0,-43.0,-26.0
-33.0,1.0,-4.0,41.0,-41.1,-50.0,-14.1,41.0,7.0,-29.0,13.0,0.0,-23.0,-58.1,-23.0,9.0,4.0,9.0,-35.0,-1.0,-41.0,16.0,36.1,-1.0,-10.0,-41.0,-17.0,47.0,-37.0,-20.0
-38.0,-5.0,-9.0,40.1,-44.1,-48.0,-18.0,32.0,3.0,-32.0,10.0,-4.0,-21.0,-53.0,-17.0,3.0,-5.0,1.1,-43.0,-9.0,-49.0,10.0,34.1,-5.0,-17.0,-42.0,-21.1,46.0,-33.1,-13.0
-44.0,-11.0,-10.0,38.0,-41.2,-49.0,-24.0,21.0,-2.0,-34.0,5.0,-11.1,-16.0,-47.1,-15.0,-3.1,-6.0,-6.2,-52.1,-13.0,-50.0,0.0,30.0,-12.0,-23.0,-45.0,-19.0,45.0,-30.0,-7.1
-49.0,-14.0,-15.0,34.0,-30.1,-51.0,-29.0,16.0,-9.2,-39.0,-6.0,-18.0,-11.0,-41.1,-6.0,-6.0,-11.0,-15.0,-54.0,-20.0,-48.0,-7.0,24.0,-20.0,-27.0,-48.0,-10.0,46.1,-25.0,5.0
-57.0,-18.0,-26.0,28.0,-27.0,-55.0,-32.0,3.0,-18.0,-38.0,-16.0,-29.0,-8.0,-40.0,3.1,-12.0,-19.0,-24.0,-52.2,-28.0,-53.0,-8.0,13.0,-29.0,-27.1,-46.0,-5.0,48.0,-18.0,13.0
-52.0,-25.0,-33.0,19.0,-19.0,-54.0,-33.0,-5.0,-23.0,-41.0,-17.0,-39.0,-3.0,-36.0,13.0,-21.0,-23.0,-27.0,-50.2,-31.0,-59.0,-7.1,7.0,-38.0,-31.0,-48.1,2.2,53.0,-9.0,21.0
-50.0,-35.0,-41.0,16.0,-16.1,-52.0,-31.0,-12.0,-28.0,-46.0,-26.0,-38.0,6.0,-35.0,20.0,-29.0,-33.0,-29.0,-49.0,-35.0,-54.0,-14.0,-1.0,-43.0,-37.0,-46.1,14.0,53.1,-6.1,30.0
-47.0,-44.0,-42.0,7.0,-13.0,-46.0,-25.0,-16.0,-32.0,-47.0,-32.0,-43.0,9.0,-30.0,25.0,-32.0,-43.0,-38.0,-48.0,-41.0,-50.1,-22.0,-7.1,-49.0,-44.0,-40.0,21.0,53.2,-1.1,34.0
-41.0,-47.0,-45.0,-6.0,-14.0,-42.0,-22.0,-21.0,-39.0,-48.0,-33.0,-49.0,17.0,-18.0,31.0,-35.0,-50.0,-44.0,-45.0,-45.0,-51.0,-28.0,-6.0,-48.0,-53.0,-33.0,23.0,49.0,8.0,34.1
-38.1,-48.0,-44.0,-9.0,-5.0,-33.0,-20.1,-24.0,-40.0,-42.0,-37.0,-48.0,23.0,-7.0,31.1,-44.0,-50.1,-49.0,-46.0,-46.0,-44.0,-32.0,-7.2,-51.0,-55.0,-29.0,31.0,45.1,16.0,36.0
-35.0,-53.0,-42.1,-12.0,1.1,-28.0,-13.0,-26.0,-44.0,-39.1,-45.0,-50.0,27.0,-4.1,35.0,-48.0,-48.0,-53.0,-41.0,-55.0,-32.0,-37.0,-14.0,-52.0,-55.1,-26.0,33.0,43.0,22.0,38.0
-31.0,-56.0,-46.0,-15.0,10.1,-24.1,-11.1,-33.0,-47.0,-30.0,-46.0,-50.1,26.0,3.0,38.0,-47.0,-50.2,-54.0,-36.0,-53.0,-22.1,-43.0,-24.0,-51.1,-52.0,-19.1,32.0,34.0,33.0,39.0
-28.0,-50.0,-46.1,-18.0,19.0,-19.0,2.1,-41.0,-50.0,-27.0,-53.0,-49.1,35.0,7.0,38.1,-53.0,-49.0,-51.0,-30.0,-44.0,-23.0,-42.0,-33.0,-49.1,-47.0,-13.0,38.0,29.0,38.0,40.0
-26.0,-45.0,-50.0,-25.0,24.0,-18.0,12.0,-39.0,-48.0,-23.0,-55.0,-47.0,42.0,9.0,40.0,-56.0,-47.0,-48.0,-18.0,-39.0,-21.0,-40.0,-40.0,-44.0,-41.0,-8.1,40.0,25.0,35.0,42.0
-16.0,-38.0,-47.0,-33.0,31.0,-6.1,18.0,-44.0,-42.0,-17.0,-54.0,-40.0,37.0,10.0,46.0,-56.1,-41.0,-44.1,-15.0,-38.0,-11.1,-43.1,-46.0,-37.0,-31.1,-2.0,38.1,16.0,36.0,40.1
-9.0,-35.1,-39.0,-36.0,35.0,8.0,22.0,-47.0,-38.0,-12.1,-50.0,-38.1,40.0,12.0,43.0,-51.0,-32.0,-35.0,-11.0,-34.0,0.0,-44.0,-47.0,-29.1,-27.2,8.0,35.0,2.0,38.1,35.0
-6.0,-26.0,-34.0,-36.1,39.0,14.0,30.0,-48.0,-33.0,-7.0,-44.0,-32.0,39.0,13.0,38.2,-43.0,-29.0,-27.1,-1.0,-27.0,7.0,-40.1,-50.0,-27.0,-25.0,15.0,41.0,-4.0,35.1,31.0
4.0,-27.0,-32.0,-43.0,40.0,24.0,36.0,-45.0,-24.0,3.0,-39.1,-31.0,38.0,11.0,32.0,-35.1,-27.0,-28.0,4.0,-25.0,12.0,-32.1,-50.1,-26.0,-18.0,24.1,41.1,-12.1,34.0,30.1
7.0,-27.1,-27.0,-45.0,42.0,35.0,41.0,-41.1,-19.0,11.0,-32.1,-27.0,37.1,11.1,23.0,-28.0,-23.1,-24.1,8.0,-20.1,18.0,-30.0,-46.1,-24.0,-16.0,30.0,40.1,-17.0,38.2,25.0
18.0,-21.0,-21.0,-41.0,46.0,38.0,49.0,-36.0,-16.0,16.0,-30.0,-21.0,33.0,14.0,15.0,-24.0,-13.0,-15.1,16.1,-9.1,25.0,-28.1,-43.0,-20.1,-12.0,32.0,37.0,-23.0,36.1,15.0
24.1,-14.1,-12.0,-39.0,44.0,35.1,53.0,-32.0,-13.0,23.0,-24.0,-11.2,24.0,12.1,12.0,-18.0,-11.1,-11.0,22.0,-6.0,33.0,-25.0,-38.0,-13.0,-4.0,27.0,31.1,-30.0,39.0,10.0
32.0,-5.1,-4.1,-33.1,41.0,35.2,53.1,-26.1,-8.0,23.1,-16.1,3.1,20.0,8.0,6.0,-17.0,-5.1,0.0,25.1,-2.3,37.0,-20.0,-33.1,-1.1,4.0,31.1,24.0,-34.0,33.1,-4.0
33.1,6.0,2.1,-26.0,35.1,39.0,55.2,-24.1,1.0,28.0,-8.0,14.0,12.0,6.0,1.1,-14.0,4.1,9.1,33.1,6.0,37.1,-13.0,-30.0,12.0,16.0,36.0,17.0,-34.1,23.0,-11.0
37.2,13.1,11.1,-17.1,29.0,38.1,59.0,-17.0,9.0,30.0,-7.0,22.0,6.1,-4.2,-4.0,-7.1,15.0,20.0,35.0,17.0,38.0,-5.0,-24.1,22.0,25.0,37.0,8.0,-33.0,16.1,-14.0
39.1,23.1,21.0,-16.0,20.0,40.0,60.0,-9.0,16.0,38.2,1.0,26.0,0.1,-8.0,-11.0,12.0,25.0,31.0,35.1,25.0,40.0,5.0,-21.0,27.0,33.0,39.0,1.0,-36.0,11.0,-19.0
36.1,29.0,29.3,-13.1,11.1,43.0,62.0,-7.0,24.0,44.0,7.0,31.0,-6.0,-13.1,-18.0,17.0,32.2,36.0,34.1,27.0,40.1,18.0,-16.0,30.1,36.1,39.1,-7.0,-33.1,5.0,-27.1
38.0,35.3,31.0,-8.0,6.0,39.1,60.1,1.0,31.2,45.0,13.1,36.1,-11.1,-17.0,-21.0,28.1,36.1,41.1,35.2,33.0,39.0,32.0,-13.0,33.0,35.0,39.2,-20.0,-28.0,-6.2,-33.0
40.0,38.0,32.1,-7.0,2.0,33.0,59.1,11.0,35.0,50.0,18.0,35.0,-19.0,-25.0,-26.0,35.2,35.1,41.2,33.2,34.0,37.2,35.1,-3.0,34.1,35.1,35.0,-23.1,-20.0,-10.1,-39.1
41.0,41.0,34.0,2.2,-8.0,25.0,59.2,24.1,35.1,47.0,26.0,41.0,-25.1,-29.0,-31.0,37.2,40.0,45.0,35.3,36.0,36.0,38.1,12.0,37.1,34.0,39.3,-26.0,-18.0,-14.0,-46.0
38.1,42.0,36.1,7.1,-12.0,20.0,55.3,30.0,42.0,43.0,33.1,46.0,-29.0,-36.1,-35.1,38.0,42.0,44.0,37.0,39.2,35.1,40.2,20.0,38.0,28.0,34.0,-31.1,-15.0,-18.1,-46.1
33.2,43.0,38.0,18.0,-21.1,13.0,47.0,30.1,50.0,38.3,36.1,41.1,-35.0,-48.0,-33.0,40.0,39.0,42.0,37.1,36.1,26.0,42.0,27.1,34.2,34.1,24.2,-41.0,-17.1,-21.0,-51.0
