001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030
-7.0,-8.0,-7.0,25.0,0.0,1.0,20.0,-14.0,1.0,-8.0,1.0,-2.0,-2.0,10.0,-7.0,-6.0,-9.0,-9.0,2.0,-4.0,9.0,-8.0,-17.0,-7.0,-4.0,-3.0,-4.0,-6.0,6.0,-6.0
-5.0,-10.0,-7.1,25.1,-2.0,4.0,20.1,-9.0,1.1,-7.0,-1.0,-1.0,-4.0,12.0,-4.0,-14.0,-11.0,-10.0,0.0,-4.1,8.0,-5.0,-23.0,-3.0,1.0,0.0,-4.1,-10.0,10.0,-6.1
-2.0,-10.1,-43.0,23.0,-2.1,4.1,21.0,-7.0,2.0,-32.0,-3.0,3.0,-3.0,-25.0,-3.0,-12.0,-6.0,-8.0,-86.0,-3.0,40.0,-9.0,-18.0,-2.0,2.0,2.0,-3.0,-10.1,15.0,-8.0
-3.0,-8.1,-42.0,41.0,-10.0,46.0,64.0,-6.0,-6.0,-35.0,-23.0,-7.0,-5.0,-16.0,-2.0,-38.0,-37.0,-5.0,-91.0,-20.0,46.0,29.0,59.0,-4.0,-2.0,9.0,-6.0,-35.0,-29.0,-7.0
-44.0,28.0,-37.0,43.0,0.1,46.1,64.1,-6.1,-5.0,-28.0,-15.0,-5.0,-6.0,-7.0,35.0,-34.0,-37.1,-33.0,-93.0,-27.0,51.0,32.0,63.0,4.0,-10.0,14.0,-15.0,-29.0,-25.0,-39.0
-42.0,32.0,-37.1,43.1,10.0,48.0,64.2,-3.0,0.0,-25.0,-9.0,1.0,17.0,-4.0,41.0,-26.0,-23.0,-27.0,-90.0,-40.0,54.0,38.0,66.0,12.0,-9.0,23.0,-9.0,-27.0,-18.0,-34.0
-40.0,33.0,-36.0,37.0,17.0,50.0,62.0,-11.0,9.0,-24.0,1.1,10.0,22.0,5.0,46.0,-20.0,-13.0,-21.0,-86.1,-51.0,57.0,45.0,66.1,18.0,-32.0,28.0,-5.0,-22.0,-4.0,-32.0
-41.0,39.0,-31.0,31.0,24.0,48.1,56.0,-11.1,12.0,-24.1,13.0,17.0,28.0,15.0,48.0,-13.0,-3.0,-9.1,-85.0,-52.0,60.0,47.0,64.0,23.0,-39.0,29.0,5.0,-16.0,0.0,-22.0
-43.0,41.0,-22.0,25.2,29.0,41.0,52.0,-26.0,19.0,-7.1,23.0,20.0,30.0,22.0,51.0,-3.0,4.0,-4.0,-83.0,-52.1,61.0,50.0,52.0,28.0,-40.0,33.0,14.0,-4.0,9.0,-13.0
-42.1,44.0,-15.0,21.0,32.0,35.0,48.0,-24.0,26.0,0.0,26.0,22.0,30.1,25.0,51.1,6.0,12.0,6.0,-76.0,-52.2,55.0,50.1,47.0,34.0,-42.0,38.0,18.0,-2.0,15.1,-10.0
-37.0,47.0,-3.0,26.0,37.0,23.0,43.0,-24.1,32.0,5.0,27.0,24.0,38.0,29.0,50.0,16.0,20.0,13.0,-78.0,-48.0,50.0,47.1,40.0,39.0,-45.0,43.0,27.0,11.0,24.0,-3.0
-32.0,45.0,8.0,22.0,45.0,17.0,34.0,-22.0,34.0,18.0,31.0,25.0,43.0,32.0,45.0,21.0,25.0,16.0,-73.0,-46.0,46.1,42.0,29.0,45.0,-47.0,49.0,34.0,15.0,35.0,8.0
-32.1,41.1,13.0,13.0,50.0,10.0,27.0,-18.0,37.0,28.0,33.0,22.1,46.0,35.0,39.0,27.0,32.0,22.0,-65.0,-46.1,40.1,42.1,25.0,51.0,-45.1,48.0,41.0,23.0,40.0,18.0
-21.0,41.2,16.0,9.0,51.0,2.0,20.2,-18.1,41.0,34.0,41.0,23.0,44.0,44.0,33.0,31.0,36.0,35.0,-58.0,-44.0,30.0,35.0,18.0,52.0,-43.0,48.1,44.0,27.0,46.0,22.0
-14.0,37.0,25.0,-4.0,50.1,-1.0,15.0,-20.0,42.0,42.0,46.0,19.0,43.1,51.0,26.0,35.0,40.0,38.0,-50.0,-39.0,21.0,27.0,9.0,52.1,-44.0,39.0,51.0,30.0,44.0,28.0
