001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030
265.0,200.0,-303.0,220.0,-97.0,37.0,-171.0,270.0,258.0,315.0,237.0,96.0,226.0,141.0,272.0,-291.0,87.0,246.0,243.0,163.0,77.0,229.0,234.0,-224.0,243.0,-28.0,-45.0,275.0,181.0,317.0
227.0,167.0,-250.0,250.0,-153.0,16.0,-169.0,271.0,267.0,311.0,216.0,119.0,216.0,204.0,280.0,-274.0,55.0,220.0,243.1,149.0,114.0,251.0,245.0,-174.0,238.0,-26.0,-3.0,292.0,159.0,289.0
212.0,125.0,-196.0,262.0,-176.0,-112.0,-218.0,293.0,268.0,292.0,208.0,139.0,206.0,255.0,276.0,-263.0,18.0,176.0,254.0,88.0,146.0,239.0,224.0,-136.0,300.0,-67.0,57.0,285.0,138.0,286.0
200.0,-6.0,-149.0,-21.0,-183.0,10.0,18.0,279.0,-13.0,275.0,-9.0,169.0,-18.0,283.0,-24.0,39.0,-4.0,-16.0,259.0,15.0,-10.0,237.0,193.0,-97.0,253.0,-86.0,95.0,288.0,106.0,-47.0
157.0,-1.0,26.0,-22.0,20.0,9.0,7.0,-25.0,-33.0,-17.0,-7.0,189.0,-11.0,-25.0,-26.0,42.0,-4.1,-18.0,-25.0,18.0,-18.0,-27.0,-16.0,21.0,226.0,7.0,3.0,-26.0,6.0,-64.0
-10.0,5.0,23.0,-21.1,15.0,13.0,21.0,-19.0,-17.0,-19.0,-1.0,203.0,-4.0,-21.0,-26.1,42.1,7.0,-14.0,-27.0,23.0,-20.0,-27.1,-7.0,17.0,271.0,14.0,-10.0,-23.0,7.0,-61.0
-1.0,11.0,32.0,-16.0,22.0,18.0,16.0,-23.0,-12.0,-19.1,5.0,225.0,4.0,-25.1,-26.2,34.0,-2.0,-8.0,-27.1,26.0,-17.0,-26.0,-6.0,15.0,-23.0,15.0,-17.0,-20.0,6.1,-51.0
1.0,12.0,18.0,-21.2,28.0,22.0,3.0,-22.0,-21.0,-17.1,8.0,-4.0,5.0,-25.2,-20.0,39.1,10.0,0.0,-21.0,28.0,-17.1,-23.0,-4.0,10.0,-21.0,20.0,-18.0,-21.0,9.0,-53.0
1.1,10.0,12.0,-21.3,29.0,23.0,3.1,-18.0,-12.1,-12.0,11.0,-7.0,13.0,-23.0,-21.0,34.1,22.0,8.0,-19.0,28.1,-19.0,-17.0,2.0,8.0,-24.0,20.1,-20.0,-19.0,11.0,-58.0
-4.0,16.0,9.0,-23.0,21.0,22.1,-8.0,-18.1,-11.0,-7.0,12.0,-7.1,6.0,-28.0,-14.0,21.0,1.0,10.0,-21.1,27.0,-21.0,-15.0,8.0,-11.0,-27.0,22.0,-24.0,-18.0,13.0,-43.0
9.0,18.0,4.0,-23.1,14.0,17.0,-9.0,-8.0,-8.0,3.0,9.0,-18.0,7.0,-26.0,-10.0,19.0,4.0,6.0,-19.1,25.0,-23.0,-12.0,17.0,-8.0,-19.0,25.0,-21.0,-8.0,15.0,-31.0
7.0,19.0,0.0,-18.0,23.0,9.1,-5.0,-3.0,0.0,10.0,12.1,-16.0,27.0,-27.0,-7.0,18.0,19.0,10.1,-13.0,28.2,-18.1,-1.0,5.0,-12.0,-5.0,18.0,-32.0,4.0,19.0,-50.0
8.0,21.0,-9.0,-10.0,10.0,8.0,-3.0,-1.0,10.0,7.0,19.0,-21.0,-1.0,-26.1,-6.0,14.0,8.0,13.0,-6.0,32.0,-16.0,5.0,23.0,-16.0,-8.0,12.0,-22.0,1.0,17.0,-16.0
12.0,18.1,-13.0,-1.0,0.0,5.0,-19.0,5.0,0.1,9.0,20.0,-24.0,5.1,-21.1,6.0,8.0,-5.0,13.1,-2.0,34.0,-17.2,7.0,20.0,-16.1,-6.0,5.0,-19.0,9.0,21.0,-26.0
16.0,20.0,-15.0,4.0,-1.0,-2.0,-20.0,10.0,2.0,22.0,22.0,-28.0,19.0,-19.0,6.1,-4.0,-3.0,10.2,7.0,33.0,-16.1,12.0,11.0,-25.0,1.0,1.0,-38.0,11.0,31.0,-46.0
18.0,18.2,-18.0,9.0,-5.0,-2.1,-20.1,9.0,15.0,15.0,23.0,-37.0,20.0,-14.0,10.0,-9.0,-10.0,22.0,3.0,28.3,-9.0,9.0,27.0,-26.0,6.0,-12.0,-25.0,17.0,30.0,-27.0
15.0,18.3,-19.0,11.0,-8.0,-9.0,-29.0,11.0,13.0,12.0,22.1,-39.0,18.0,-9.0,16.0,-10.0,-21.0,17.0,8.0,18.1,-7.0,12.1,27.1,-27.0,9.0,-8.0,-25.1,19.0,21.1,-10.0
18.1,18.4,-22.0,12.0,-3.0,-11.0,-32.0,17.0,13.1,20.0,17.0,-41.0,2.0,-1.0,14.0,-14.0,-12.0,17.1,8.1,7.0,-1.0,2.0,20.1,-27.1,15.0,0.0,-29.0,18.0,14.0,-27.1
17.0,16.1,-19.1,14.0,-3.1,-16.0,-29.1,20.0,16.0,6.0,11.1,-42.0,38.0,4.0,18.0,-19.0,-13.0,15.0,14.0,-3.0,4.0,22.0,25.0,-24.0,10.0,-21.0,-15.0,20.0,11.1,-16.1
11.0,15.0,-19.2,14.1,-14.0,-20.0,-33.0,23.0,18.0,12.1,7.0,-42.1,13.1,4.1,20.0,-21.0,-27.0,13.2,18.0,-1.0,5.0,11.0,21.0,-25.1,14.0,-12.1,-16.0,18.1,3.0,-10.1
10.0,-1.1,-17.0,13.0,-14.1,-21.0,-29.2,23.1,17.0,18.0,1.0,-42.2,11.0,3.0,18.1,-18.0,-27.1,9.0,16.0,-2.0,5.1,2.1,15.0,-21.0,15.1,-19.0,-11.0,20.1,-4.0,-21.0
4.0,-2.0,-20.0,14.2,-18.0,-29.0,-24.0,24.0,20.0,15.1,1.1,-38.0,13.2,7.0,23.0,-15.0,-26.0,4.0,27.0,-6.0,7.0,18.0,11.1,-22.0,11.0,-39.0,-7.0,21.0,-6.0,-19.0
-2.0,3.0,-25.0,17.0,-27.0,-17.0,-25.0,21.0,19.0,12.2,-1.1,-36.0,2.1,9.0,24.0,-19.1,-40.0,7.0,26.0,-3.1,10.0,22.1,6.0,-21.1,9.1,-32.0,5.0,18.2,-8.0,-10.2
-5.0,-17.0,-21.0,18.0,-23.0,-25.0,-24.1,21.1,13.2,10.1,-12.0,-22.0,-4.1,13.0,21.0,-23.0,-31.0,3.0,23.0,-9.0,13.0,16.0,-7.1,-16.2,12.0,-31.0,5.1,16.0,-7.0,-23.0
-7.0,-8.0,-24.0,10.0,-25.0,-31.0,-16.0,17.1,8.0,2.0,1.2,-18.1,3.0,13.1,19.0,-16.0,-55.0,-1.0,21.0,-14.0,17.0,21.0,-13.0,-9.0,11.1,-32.1,6.0,13.0,-16.0,-32.0
-10.1,-5.0,-23.0,31.0,-25.1,-24.0,-16.1,12.0,6.0,0.0,-4.0,-16.1,-5.0,14.0,15.0,-19.2,-43.0,1.0,17.0,-21.0,21.0,10.0,-10.0,-4.0,13.0,-27.0,16.0,8.0,-14.0,-26.1
-12.0,-16.0,-10.0,12.1,-21.0,-17.1,-14.0,13.0,-3.0,-5.0,-13.0,-13.0,-11.1,14.1,4.0,-22.0,-24.0,-7.0,17.1,-21.1,22.0,7.1,-13.1,0.0,13.1,-19.1,16.1,6.0,-21.0,-29.0
-17.0,-21.0,-2.0,14.3,-18.1,-18.0,-4.0,8.0,-5.0,-4.0,-17.0,-10.0,-8.0,19.0,2.0,-23.1,-40.1,-7.1,10.0,-22.0,23.0,4.0,-16.1,6.0,13.2,-25.0,21.0,0.0,-29.0,-39.0
-21.0,-25.0,0.1,18.1,-15.0,-18.1,-1.0,2.0,-7.0,-3.0,-17.1,-10.1,-13.0,20.0,-5.0,-19.3,-45.0,-8.1,4.0,-24.0,24.0,5.1,-18.0,8.1,9.2,-21.1,21.1,-2.0,-35.0,-38.0
-26.0,-31.0,6.0,11.1,-13.0,-8.0,3.2,0.0,-9.0,-7.1,-18.0,-4.1,-28.0,16.0,-8.0,-14.1,-26.1,-18.1,-1.0,-16.0,15.0,-5.0,-26.0,7.0,6.1,-14.0,15.0,-4.0,-31.0,-42.0
-30.0,-31.1,8.0,2.0,-7.0,-6.0,4.0,-1.1,-5.1,-15.0,-22.0,2.0,-27.0,12.0,-7.1,-7.0,-34.0,-23.0,1.0,-16.1,22.1,-9.0,-22.0,8.2,3.0,-10.0,19.0,-8.1,-23.0,-44.0
-27.0,-27.0,11.0,-2.0,-2.0,-11.1,17.0,-1.2,-16.0,-14.0,-21.0,8.0,-35.0,14.2,-8.1,-2.0,-32.0,-27.0,-7.0,-15.0,12.0,-12.1,-19.0,9.0,-6.1,-9.0,18.0,-8.2,-30.0,-42.1
-28.0,-29.0,12.1,-5.0,0.1,-7.0,26.0,-27.0,3.0,-25.0,-23.0,12.0,-36.0,13.2,-9.0,-1.0,-18.0,-35.0,-13.1,-10.0,6.0,-15.1,-22.1,10.1,-10.0,-2.0,17.0,-13.0,-28.0,-40.0
-28.1,-28.0,12.2,-16.1,8.0,-2.2,16.1,-2.0,-17.1,-26.0,-16.0,16.0,-30.0,-3.0,-8.2,5.0,-25.0,-33.0,-18.0,-10.1,1.0,-15.2,-23.0,14.0,-8.1,-1.0,22.0,-22.0,-24.0,-47.1
-28.2,-20.0,8.1,-15.0,14.1,1.0,25.0,-9.0,-31.0,-27.0,-14.0,15.0,-27.1,-6.0,-14.1,8.1,-32.1,-31.0,-21.2,-5.0,3.0,-22.0,-22.2,21.1,-12.0,3.0,12.0,-26.1,-18.0,-58.1
-30.1,-17.1,12.3,-11.0,19.0,8.1,28.0,-32.0,-20.0,-34.0,-15.0,13.0,-22.0,-4.0,-22.0,13.0,-12.1,-27.1,-24.0,2.0,-3.0,-30.0,-18.1,12.0,-33.0,9.0,8.0,-29.0,-11.0,-53.1
-33.0,-11.0,25.0,-17.0,26.0,13.1,21.1,-28.0,-21.1,-30.0,-11.0,12.1,-23.0,1.0,-24.1,8.2,-10.1,-24.0,-26.0,10.0,-9.1,-28.0,-14.0,20.0,-8.2,12.1,7.0,-28.0,-7.1,-54.0
-25.0,-15.0,14.0,-17.1,31.0,21.0,31.0,-14.0,-23.0,-22.0,-11.1,6.0,-13.1,-11.0,-27.0,23.0,-21.1,-19.0,-23.0,13.0,-10.1,-35.0,-13.2,18.0,-30.0,19.0,8.1,-20.1,-4.1,-63.0
-21.1,-11.1,18.1,-20.0,32.0,31.0,28.1,-28.1,-17.2,-23.0,-8.0,15.1,-8.1,-15.0,-29.0,21.1,-13.1,-14.1,-24.1,16.0,-15.0,-33.0,-10.1,8.3,-45.0,22.1,-1.0,-23.1,4.0,-59.0
-10.2,-7.0,18.2,-25.0,36.0,29.0,23.0,-26.0,-24.0,-25.1,-3.0,14.0,-10.0,-18.0,-25.0,22.0,5.0,-12.0,-24.2,18.2,-17.3,-29.0,-4.1,4.0,-30.1,25.1,2.0,-26.2,8.0,-52.0
-11.0,-4.0,17.0,-24.0,36.1,23.1,22.0,-18.2,-25.0,-22.1,-1.2,10.0,-5.1,-26.2,-24.2,23.1,6.0,-12.1,-23.1,25.1,-23.1,-28.1,-16.2,11.0,-20.0,29.0,-16.1,-20.2,13.1,-69.0
