001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030
6.0,6.0,-7.0,-2.0,-10.0,-6.0,-9.0,-10.0,4.0,2.0,-28.0,7.0,-4.0,-35.0,1.0,-6.0,-10.0,-2.0,6.0,-14.0,-16.0,-2.0,-3.0,-9.0,-5.0,6.0,-8.0,-11.0,-9.0,10.0
8.0,2.0,-8.0,-1.0,-10.1,-7.0,-10.0,-9.0,-2.0,-1.0,-29.0,7.1,2.0,-37.0,-2.0,-11.0,-7.0,-1.0,9.0,-13.0,-13.0,-2.1,1.0,-13.0,-3.0,3.0,-12.0,-10.0,-12.0,8.0
10.0,4.0,-10.0,-5.0,-9.0,-7.1,-9.1,-9.1,-2.1,-2.0,-28.1,8.0,4.0,-38.0,-6.0,-16.0,-7.1,-5.0,7.0,-19.0,-12.0,3.0,-3.1,-16.0,-5.1,2.0,-14.0,-13.0,-10.0,12.0
7.0,1.0,31.0,-8.0,-10.2,-9.0,-12.0,-11.0,-2.2,-3.0,-27.0,12.0,10.0,-38.1,-8.0,-16.1,-4.0,-5.1,6.1,-18.0,-11.0,-40.0,-4.0,-16.1,-6.0,7.0,-15.0,-10.1,-10.1,11.0
5.0,-2.0,38.0,-9.0,-11.0,44.0,-10.1,36.0,-1.0,-3.1,-24.0,11.0,8.0,-3.0,-7.0,-13.0,0.0,36.0,7.1,28.0,-4.0,-38.0,-3.2,-14.0,31.0,6.1,26.0,-11.1,10.0,10.1
6.1,-7.0,42.0,38.0,-8.0,42.0,-4.0,37.0,-3.0,3.0,-71.0,3.0,8.1,7.0,41.0,-14.0,-1.0,36.1,8.0,29.0,1.0,-46.0,-2.0,-13.1,36.0,43.0,15.0,-5.0,8.0,5.0
-22.0,40.0,48.0,45.0,-20.0,37.0,-11.0,37.1,1.0,37.0,-59.0,-17.0,-54.0,15.0,39.0,22.0,-17.0,41.0,11.0,20.0,6.0,-49.0,3.0,-25.0,34.0,42.0,8.0,-14.0,8.1,25.0
-22.1,29.0,48.1,48.0,-27.0,36.0,-25.0,31.0,2.0,41.0,-55.0,-15.0,-51.0,21.0,34.0,18.0,-18.0,48.0,38.0,6.0,16.0,-49.1,-45.0,-28.0,29.0,40.0,2.0,-22.0,2.0,29.0
-17.0,18.0,46.0,49.0,-36.0,32.0,-26.0,24.0,10.0,43.0,-54.0,-10.0,-47.0,27.0,30.0,13.0,-19.0,51.0,29.0,-3.0,20.0,-46.1,-41.0,-32.0,29.1,41.0,-3.0,-29.0,-4.0,33.0
-15.0,14.0,34.0,55.0,-38.0,28.0,-28.0,18.0,2.1,46.0,-52.0,-5.0,-41.0,30.0,24.0,9.0,-19.1,50.0,17.0,-3.1,26.0,-42.0,-43.0,-38.0,25.0,39.0,-3.1,-34.0,-9.1,38.0
-14.0,10.0,32.0,57.0,-34.0,22.0,-33.0,11.0,-1.1,47.0,-43.0,4.0,-34.0,31.0,22.0,4.0,-22.0,42.0,14.0,-7.0,32.0,-39.0,-38.0,-39.0,23.0,35.0,-11.0,-36.0,-20.0,43.0
-6.0,4.1,26.0,55.1,-32.0,14.0,-40.0,6.0,-7.0,44.0,-39.0,11.1,-31.0,34.0,19.0,-7.0,-28.0,42.1,9.1,-15.0,36.0,-32.0,-33.0,-43.0,17.0,31.0,-20.0,-41.0,-26.0,45.0
1.0,-1.0,20.0,47.0,-38.1,9.0,-42.0,6.1,-10.0,37.1,-27.1,17.0,-30.0,37.0,8.0,-14.1,-31.0,44.0,3.0,-20.0,39.0,-25.0,-27.0,-42.0,18.0,34.0,-28.0,-46.0,-34.0,48.0
5.1,-6.0,15.0,40.0,-36.1,4.0,-42.1,0.0,-18.0,36.0,-22.0,23.0,-24.0,42.0,-3.0,-21.0,-31.1,33.0,3.1,-22.0,32.1,-18.0,-24.0,-38.1,9.0,27.0,-32.0,-42.0,-41.0,48.1
9.0,-16.0,16.0,34.0,-36.2,-1.0,-41.0,-10.1,-20.0,37.2,-11.0,28.0,-19.0,44.0,-9.0,-26.0,-27.0,26.0,-2.0,-27.0,32.2,-6.0,-20.0,-41.0,10.0,20.0,-31.0,-39.0,-40.0,51.0
14.0,-23.0,11.0,29.0,-40.0,-12.0,-43.0,-22.0,-17.0,32.0,-11.1,30.0,-14.0,37.1,-17.0,-34.0,-24.0,25.0,-7.0,-31.0,29.0,4.0,-14.0,-42.1,3.0,13.0,-39.0,-39.1,-43.0,48.2
12.0,-35.0,8.0,26.0,-39.0,-25.0,-42.2,-29.0,-18.1,23.0,-10.0,33.0,-3.0,34.1,-20.0,-39.0,-23.0,14.0,-13.0,-37.0,27.0,6.0,-9.0,-41.1,-7.0,9.0,-43.0,-37.0,-44.0,45.1
19.0,-35.1,4.0,20.0,-35.0,-31.0,-39.0,-37.0,-19.0,20.0,-11.2,32.0,7.0,27.1,-29.0,-45.0,-17.1,6.0,-20.0,-43.0,27.1,3.1,0.0,-34.0,-15.0,-2.0,-43.1,-33.0,-46.0,39.0
