001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030
-7.0,4.0,-1.0,10.0,-13.0,12.0,-2.0,-47.0,13.0,1.0,2.0,4.0,3.0,6.0,-3.0,7.0,13.0,15.0,2.0,-8.0,-10.0,16.0,7.0,7.0,17.0,4.0,7.0,14.0,-15.0,7.0
-4.0,5.0,-3.0,11.0,-9.0,13.0,-3.0,-47.1,11.0,1.1,3.0,3.0,0.0,6.1,-4.0,13.0,10.0,19.0,8.0,-11.0,-11.0,15.0,6.0,3.0,15.0,4.1,9.0,16.0,-16.0,11.0
3.0,5.1,-6.0,11.1,-7.0,12.1,-2.1,-51.0,9.0,-3.0,2.1,1.0,1.0,6.2,-7.0,13.1,12.0,24.0,11.0,-12.0,-13.0,17.0,7.1,1.0,10.0,4.2,9.1,18.0,-16.1,7.1
2.0,9.0,-6.1,9.0,20.0,12.2,-1.0,-50.0,27.0,-5.0,8.0,-1.0,4.0,-19.0,-6.0,5.0,16.0,23.0,7.0,7.0,-8.0,18.0,7.2,2.0,8.0,-1.0,8.0,16.1,-13.0,31.0
-17.0,5.2,-12.0,9.1,18.0,16.0,-24.0,-53.0,30.0,29.0,3.1,-6.0,-7.0,-20.0,-5.0,2.0,33.0,-23.0,-23.0,4.0,1.0,19.0,7.3,19.0,7.0,-34.0,9.2,12.0,-13.1,28.0
-17.1,10.0,21.0,21.0,21.0,-10.0,-25.0,29.0,24.0,25.0,8.1,24.0,1.1,-28.0,-17.0,10.0,38.0,-25.0,-20.0,-5.0,2.0,8.0,31.0,23.0,3.0,-36.0,12.0,31.0,-12.0,24.0
-20.0,15.0,18.0,24.0,21.1,-4.0,-30.0,31.0,21.0,24.0,15.0,28.0,5.0,-34.0,-19.0,1.0,37.0,-26.0,-16.0,-8.1,4.0,12.0,28.0,26.0,4.0,-34.1,19.0,28.0,-10.0,22.0
-24.0,17.0,12.0,29.0,15.0,0.0,-30.1,30.0,16.0,18.0,20.0,30.0,6.0,-32.0,-17.1,-7.0,42.0,-21.0,-7.0,-10.0,8.0,15.1,22.0,28.0,9.0,-36.1,28.0,33.0,-9.0,18.0
-26.0,18.0,9.0,33.0,7.0,8.0,-29.0,30.1,12.0,12.0,22.0,34.0,-3.0,-37.0,-22.0,-10.0,46.0,-23.1,-2.0,-12.1,13.0,23.0,19.0,26.1,14.0,-39.0,26.0,34.0,-8.0,13.0
-26.1,21.0,9.1,36.0,2.0,13.1,-26.0,28.0,6.0,9.0,23.0,32.0,-10.0,-31.0,-22.1,-11.0,51.0,-30.0,1.0,-18.0,19.0,27.0,17.0,27.0,20.0,-36.2,27.0,33.1,-11.0,10.0
-30.0,23.0,4.0,36.1,-2.0,13.2,-26.1,18.0,1.0,5.0,26.0,29.0,-17.0,-33.0,-24.0,-18.0,61.0,-23.2,5.0,-30.0,23.0,31.0,17.1,24.0,26.0,-36.3,29.0,31.1,16.0,6.0
-31.0,28.0,3.0,39.0,-10.0,15.0,-17.0,12.0,-10.0,1.2,33.0,24.1,-22.0,-31.1,-29.0,-28.0,64.0,-17.0,7.1,-32.0,26.0,31.1,15.0,19.1,28.0,-33.0,31.0,24.0,14.0,3.0
-26.2,32.0,3.1,41.0,-10.1,23.0,-14.0,4.0,-20.0,-2.0,33.1,19.0,-24.0,-25.0,-35.0,-33.0,71.0,-10.0,13.0,-36.0,31.0,31.2,10.0,14.0,29.0,-26.0,24.0,14.1,5.0,0.0
-20.1,31.0,-5.0,46.0,-14.0,27.0,-11.0,-2.0,-22.0,-11.0,30.0,18.0,-26.0,-21.0,-32.0,-39.0,75.0,-2.0,12.0,-39.0,34.0,29.0,4.0,14.1,30.0,-17.0,23.0,9.0,0.0,-1.0
-16.0,27.0,-17.0,54.0,-20.0,26.0,-6.0,-5.0,-26.0,-21.0,29.0,14.0,-30.0,-13.0,-34.0,-38.0,76.0,4.0,17.0,-36.1,30.0,25.0,-2.0,12.0,30.1,-12.0,19.1,4.0,1.0,-10.0
-7.1,27.1,-25.0,51.0,-25.0,29.0,5.0,-11.0,-32.0,-28.0,24.0,10.0,-40.0,-4.0,-30.0,-40.0,82.0,9.0,20.0,-33.0,27.0,19.1,-9.0,8.0,26.1,-10.0,17.0,-1.0,-1.0,-15.0
-4.1,20.0,-27.0,46.1,-25.1,26.1,9.0,-16.0,-31.0,-31.0,17.0,5.0,-43.0,6.3,-24.1,-44.0,84.0,11.0,20.1,-31.0,21.0,15.2,-15.0,0.0,23.0,-2.0,16.0,-10.0,-12.1,-19.0
2.1,16.0,-32.0,43.0,-28.0,25.0,11.0,-16.1,-37.0,-36.0,10.0,0.0,-47.0,12.0,-19.1,-48.0,89.0,12.0,24.0,-35.0,16.0,8.1,-17.0,-5.0,22.0,-1.1,8.1,-9.0,-16.2,-28.0
8.0,17.1,-36.0,42.0,-34.0,28.0,14.0,-20.0,-38.0,-37.0,6.0,-5.0,-55.0,9.0,-14.0,-47.0,85.0,16.0,27.0,-35.1,13.1,7.0,-19.0,-10.0,18.0,3.0,0.0,-11.0,-20.0,-31.0
11.0,10.1,-37.0,33.1,-32.0,23.1,13.0,-22.0,-40.0,-38.0,0.0,-14.0,-61.0,15.0,-5.1,-47.1,77.0,21.0,28.0,-30.1,10.0,1.0,-24.0,-16.0,10.1,10.0,2.0,-10.1,-18.0,-35.0
16.0,4.1,-39.0,30.0,-31.0,14.0,12.0,-24.0,-44.0,-35.0,-5.0,-18.0,-66.0,20.0,2.0,-47.2,75.1,29.0,28.1,-30.2,1.1,-3.0,-28.0,-25.0,2.0,13.0,-7.0,-19.0,-19.0,-38.0
18.0,-3.0,-42.0,31.0,-27.0,13.3,22.0,-22.1,-44.1,-36.1,-8.0,-26.0,-68.0,20.1,5.0,-42.0,70.0,32.0,28.2,-25.0,-6.0,-2.0,-32.0,-29.0,0.0,20.0,-8.0,-20.0,-21.0,-35.1
25.0,-12.0,-43.0,23.0,-24.0,8.1,22.1,-28.0,-40.1,-39.0,-15.0,-35.0,-71.0,24.0,7.0,-36.0,67.0,34.0,25.0,-14.0,-9.0,-8.0,-31.0,-30.0,-9.0,19.0,-15.0,-24.0,-30.0,-32.0
29.0,-18.0,-42.1,18.0,-18.0,3.0,32.0,-29.0,-31.1,-40.0,-23.0,-35.1,-73.0,26.0,13.0,-28.1,64.1,33.0,17.1,-9.0,-14.0,-16.0,-33.0,-37.0,-21.0,22.0,-19.0,-22.0,-38.0,-31.1
28.0,-23.0,-40.0,13.0,-14.1,-1.0,34.0,-28.1,-32.1,-36.2,-31.0,-37.0,-75.0,31.0,21.0,-23.0,60.0,33.1,12.1,-4.0,-22.0,-26.0,-35.0,-37.1,-26.0,19.1,-26.0,-16.0,-34.0,-37.0
28.1,-27.0,-36.1,8.0,-12.0,-8.0,36.0,-31.0,-32.2,-34.0,-36.0,-40.0,-75.1,35.0,26.0,-19.0,54.0,35.0,11.1,4.1,-26.0,-35.0,-36.0,-37.2,-28.0,15.0,-35.0,-16.1,-29.0,-35.2
30.0,-33.0,-30.0,0.0,-2.1,-15.0,32.1,-27.0,-26.1,-26.0,-44.0,-38.0,-76.0,34.0,31.0,-10.1,51.1,33.2,9.0,10.0,-31.0,-38.0,-37.0,-34.0,-34.0,12.0,-31.0,-17.0,-30.1,-30.0
26.0,-38.0,-27.1,-4.0,2.1,-22.0,24.0,-23.0,-21.0,-23.0,-41.0,-37.1,-77.0,34.1,32.0,-1.0,45.0,32.1,0.0,13.0,-34.0,-36.0,-35.1,-32.0,-35.0,7.0,-31.1,-14.0,-24.0,-32.1
24.0,-38.1,-23.0,-9.0,0.0,-25.0,21.0,-16.2,-15.0,-12.0,-41.1,-32.0,-75.2,32.0,35.0,6.0,40.0,21.1,-7.1,19.0,-38.0,-37.0,-29.0,-34.1,-34.1,2.0,-28.0,-11.1,-20.1,-24.0
24.1,-38.2,-15.0,-16.0,4.0,-29.0,19.0,-11.1,-7.0,-8.0,-39.0,-31.0,-69.0,29.0,35.1,11.0,26.0,15.1,-15.0,28.0,-39.0,-37.1,-27.0,-31.0,-32.0,2.1,-29.0,-4.0,-20.2,-16.0
25.1,-37.0,-8.0,-20.0,7.1,-29.1,15.0,-6.0,8.0,1.3,-42.0,-31.1,-61.1,17.0,35.2,19.0,21.0,17.0,-23.1,32.0,-36.0,-37.2,-19.1,-25.1,-32.1,-5.0,-27.0,2.0,-17.0,-10.1
16.1,-36.0,-1.1,-20.1,11.0,-34.0,14.1,-7.0,11.1,3.0,-36.1,-32.1,-56.0,13.0,32.1,26.0,18.0,10.0,-21.0,37.0,-40.0,-35.1,-11.0,-24.0,-32.2,-10.1,-31.2,6.0,-9.1,0.1
11.1,-34.0,6.0,-18.0,18.1,-37.0,11.1,-2.1,19.0,7.0,-37.0,-32.2,-52.0,13.1,31.1,31.0,16.1,4.1,-28.0,43.0,-41.0,-39.0,-5.0,-16.1,-34.2,-15.0,-35.1,5.0,-5.0,5.0
7.0,-32.0,12.1,-19.0,23.0,-39.0,9.1,2.0,25.0,12.1,-36.2,-23.0,-45.0,10.0,31.2,36.0,17.0,-4.0,-35.0,45.0,-43.0,-42.0,0.0,-10.1,-38.0,-18.0,-34.0,7.0,-3.0,14.0
3.1,-36.1,22.0,-20.2,33.0,-39.1,2.0,6.0,24.1,20.0,-33.0,-13.0,-38.0,6.4,24.0,33.0,13.1,-10.1,-37.0,50.0,-45.0,-40.0,9.0,0.1,-38.1,-23.0,-33.0,13.0,1.1,16.0
0.0,-35.0,25.0,-21.0,37.0,-39.2,-7.0,12.1,34.0,27.0,-29.0,-6.1,-31.0,-2.0,16.0,30.0,17.1,-17.1,-35.1,48.0,-40.1,-36.1,18.0,6.0,-32.3,-31.0,-27.1,15.0,4.0,24.1
-4.2,-33.1,29.0,-22.0,38.0,-40.0,-18.0,20.0,39.0,29.1,-24.0,5.1,-27.0,-8.0,13.1,32.0,14.0,-23.3,-35.2,39.0,-32.0,-31.0,22.1,12.1,-29.0,-37.0,-17.0,16.2,7.0,30.0
-17.2,-31.0,30.0,-16.1,34.0,-40.1,-26.2,27.0,41.0,29.2,-15.1,14.1,-24.1,-14.0,8.0,26.1,14.1,-27.0,-34.0,34.0,-28.0,-24.0,25.0,16.0,-26.1,-44.0,-7.1,20.0,13.0,30.1
-24.1,-20.0,33.0,-16.2,30.0,-36.0,-29.1,30.2,46.0,35.0,-11.0,18.1,-20.0,-24.0,4.0,32.1,12.1,-25.1,-35.3,29.0,-20.0,-20.0,32.0,19.2,-20.0,-47.0,-2.0,27.0,20.0,31.1
-25.0,-12.1,40.0,-11.0,29.0,-32.0,-39.0,25.0,45.0,39.0,-7.0,21.0,-14.0,-29.0,1.0,31.1,15.0,-25.2,-36.0,25.0,-15.0,-14.0,30.0,25.0,-13.0,-47.1,0.1,30.0,23.0,33.0
-29.0,-5.0,39.0,0.1,21.2,-33.0,-40.0,24.0,43.0,38.0,-4.0,27.0,-11.0,-34.1,-5.2,28.0,19.0,-29.0,-38.0,21.0,-8.1,-8.1,31.1,30.0,-6.0,-55.0,6.0,33.2,21.0,37.0
-38.0,6.0,38.0,4.0,17.0,-24.0,-37.0,26.0,36.0,38.1,3.2,28.1,-10.1,-39.0,-15.0,25.0,21.1,-33.0,-34.1,23.0,1.2,-1.0,35.0,32.0,1.0,-51.0,11.0,32.0,22.0,37.1
-40.0,12.0,40.1,10.1,18.2,-22.1,-41.0,19.0,32.0,36.0,4.0,30.1,-4.0,-39.1,-22.2,20.0,29.0,-34.0,-32.0,14.0,12.0,8.2,38.0,42.0,12.0,-50.0,17.1,33.3,20.1,44.0
-39.0,8.0,38.1,20.0,14.0,-19.0,-40.1,25.1,28.0,34.0,15.1,33.0,2.0,-39.2,-27.0,13.2,39.0,-30.1,-30.0,3.0,14.0,14.0,40.0,43.0,19.0,-48.0,28.1,35.0,20.2,42.0
-38.1,10.2,34.0,26.0,8.0,-6.0,-36.0,21.0,22.0,32.0,23.1,40.0,5.1,-40.0,-28.0,9.0,43.0,-29.1,-22.0,-3.0,17.0,24.0,39.0,48.0,22.1,-48.1,28.2,30.1,19.0,36.0
-35.0,20.1,29.1,33.2,-2.2,8.2,-37.1,19.1,19.1,30.0,26.1,43.0,8.0,-41.0,-36.0,4.0,47.0,-38.0,-12.0,-12.2,23.1,25.1,38.1,48.1,27.0,-46.0,30.0,27.1,22.1,29.0
-34.0,26.0,17.0,37.0,-12.1,15.1,-32.0,14.0,20.0,20.1,28.0,43.1,9.0,-39.3,-39.0,-3.0,57.0,-32.0,-6.0,-22.0,24.0,23.1,33.0,45.0,26.2,-42.0,36.0,24.1,22.2,25.0
